SignalName,ActivityFactor
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_reserveId_value[0:0],0.28930581
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_reserveId_willOverflowIfInc,0.28930581
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_reserveId_willOverflow,0.28930581
TOP.VexiiRiscv.WhiteboxerPlugin_logic_fetch_fetchId[9:0],0.28930581
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_fetchId[9:0],0.28930581
TOP.VexiiRiscv.PcPlugin_logic_harts_0_self_id[9:0],0.28930581
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_payload_id[0:0],0.28930581
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_persistent_payload_id[0:0],0.28930581
TOP.FetchCachelessPlugin_logic_bus_cmd_payload_id[0:0],0.28930581
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_FetchCachelessPlugin_logic_BUFFER_ID[0:0],0.28930499
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_FetchCachelessPlugin_logic_BUFFER_ID[0:0],0.28930499
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_rData_id[0:0],0.28930499
TOP.VexiiRiscv.FetchCachelessPlugin_logic_bus_cmd_payload_regNext_id[0:0],0.28930499
TOP.VexiiRiscv.decode_ctrls_0_down_Decode_INSTRUCTION_RAW_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_0_down_Decode_INSTRUCTION_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_1_up_Decode_INSTRUCTION_RAW_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_1_up_Decode_INSTRUCTION_0[31:0],0.28900419
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_Fetch_WORD[31:0],0.28900419
TOP.VexiiRiscv.execute_ctrl0_up_Decode_UOP_lane0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_1_down_Decode_UOP_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_1_down_Decode_INSTRUCTION_RAW_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_1_down_Decode_INSTRUCTION_0[31:0],0.28900419
TOP.VexiiRiscv.execute_ctrl0_down_Decode_UOP_lane0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_0_up_Decode_INSTRUCTION_RAW_0[31:0],0.28900419
TOP.VexiiRiscv.decode_ctrls_0_up_Decode_INSTRUCTION_0[31:0],0.28900419
TOP.VexiiRiscv.AlignerPlugin_logic_slices_data_0[31:0],0.28900419
TOP.VexiiRiscv.AlignerPlugin_logic_slicesInstructions_0[31:0],0.28900419
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_ctx_instruction[31:0],0.28900419
TOP.VexiiRiscv.DecoderPlugin_logic_laneLogic_0_trapPort_payload_tval[31:0],0.28900419
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_uop[31:0],0.28900419
TOP.VexiiRiscv.WhiteboxerPlugin_logic_serializeds_0_microOp[31:0],0.28900419
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_ports_1_payload_tval[31:0],0.28900419
TOP.VexiiRiscv.FetchCachelessPlugin_logic_join_rsp_word[31:0],0.28900419
TOP.VexiiRiscv.execute_ctrl3_down_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl4_up_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl3_up_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl2_up_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl1_up_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl4_down_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl1_down_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl2_down_Decode_UOP_lane0[31:0],0.28900090
TOP.VexiiRiscv.CsrAccessPlugin_logic_trapPort_payload_tval[31:0],0.28900090
TOP.VexiiRiscv.CsrAccessPlugin_logic_fsm_interface_uop[31:0],0.28900090
TOP.VexiiRiscv.execute_lane0_logic_decoding_decodingBits[31:0],0.28900090
TOP.VexiiRiscv.execute_ctrl0_down_PC_lane0[31:0],0.28825876
TOP.VexiiRiscv.decode_ctrls_1_up_PC_0[31:0],0.28825876
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_Fetch_WORD_PC[31:0],0.28825876
TOP.VexiiRiscv.execute_ctrl0_up_PC_lane0[31:0],0.28825876
TOP.VexiiRiscv.decode_ctrls_1_down_PC_0[31:0],0.28825876
TOP.VexiiRiscv.decode_ctrls_0_down_PC_0[31:0],0.28825876
TOP.VexiiRiscv.decode_ctrls_0_up_PC_0[31:0],0.28825876
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_Fetch_WORD_PC[31:0],0.28825876
TOP.VexiiRiscv.FetchCachelessPlugin_logic_trapPort_payload_tval[31:0],0.28825876
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_ctx_pc[31:0],0.28825876
TOP.VexiiRiscv.WhiteboxerPlugin_logic_decodes_0_pc[63:0],0.28825876
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_hm_PC[31:0],0.28825876
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_ports_2_payload_tval[31:0],0.28825876
TOP.VexiiRiscv.streamArbiter_1_io_output_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl3_down_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl4_up_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl3_up_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl2_up_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl1_up_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl4_down_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl1_down_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_LAST_SLICE_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_FALSE_lane0[31:0],0.28825547
TOP.VexiiRiscv.execute_ctrl2_down_PC_lane0[31:0],0.28825547
TOP.VexiiRiscv.early0_BranchPlugin_logic_wb_payload[31:0],0.28825547
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.LearnPlugin_logic_learn_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.LearnPlugin_logic_buffered_0_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_toFlow_payload_pcOnLastSlice[31:0],0.28825547
