SignalName,ActivityFactor
TOP.VexiiRiscv.execute_ctrl2_down_COMPLETION_AT_4_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_down_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl3_up_COMMIT_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl3_up_COMPLETION_AT_4_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_up_COMPLETION_AT_4_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_up_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl0_down_PC_lane0[31:0],0.01426029
TOP.VexiiRiscv.execute_ctrl1_up_TRAP_lane0,0.01426029
TOP.VexiiRiscv.decode_ctrls_1_up_PC_0[31:0],0.01426029
TOP.VexiiRiscv.execute_ctrl1_down_TRAP_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl1_down_lane0_logic_completions_onCtrl_2_ENABLE_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl1_down_COMPLETION_AT_4_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl1_down_lane0_integer_WriteBackPlugin_SEL_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl4_down_TRAP_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl4_down_COMMIT_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl3_down_COMMIT_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl0_up_PC_lane0[31:0],0.01426029
TOP.VexiiRiscv.decode_ctrls_1_down_PC_0[31:0],0.01426029
TOP.VexiiRiscv.execute_ctrl2_up_COMMIT_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_down_COMMIT_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_COMMIT_lane0_bypass,0.01426029
TOP.VexiiRiscv.execute_ctrl2_up_TRAP_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_down_TRAP_lane0,0.01426029
TOP.VexiiRiscv.execute_ctrl2_TRAP_lane0_bypass,0.01426029
TOP.VexiiRiscv.LsuCachelessPlugin_logic_iwb_valid,0.01426029
TOP.VexiiRiscv.lane0_IntFormatPlugin_logic_stages_2_hits[0:0],0.01426029
TOP.VexiiRiscv.DispatchPlugin_logic_candidates_0_ctx_hm_PC[31:0],0.01426029
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_0_port_payload_trap,0.01426029
